step,t,n_source_events,n_context_events,n_ingested_source,n_ingested_context,n_pruned_source,n_pruned_context,attention_n1,attention_n2,attention_n3,attention_n4,attention_n5,attention_n6,share_n1,share_n2,share_n3,share_n4,share_n5,share_n6,top1_neuron,top1_attention,top1_share,top1_margin
109,2.180000,5,4,1,0,0,0,0.000000,0.060832,0.060832,0.000000,1.992916,0.000000,0.000000,0.028768,0.028768,0.000000,0.942464,0.000000,5,1.992916,0.942464,0.913697
110,2.200000,5,4,0,0,0,0,0.000000,0.060832,0.060832,0.000000,1.992916,0.000000,0.000000,0.028768,0.028768,0.000000,0.942464,0.000000,5,1.992916,0.942464,0.913697
111,2.220000,4,5,0,1,1,0,0.000000,0.060832,0.060832,0.000000,2.316093,0.000000,0.000000,0.024954,0.024954,0.000000,0.950092,0.000000,5,2.316093,0.950092,0.925138
112,2.240000,5,5,1,0,0,0,0.000000,0.060832,0.060832,0.000000,3.234276,0.000000,0.000000,0.018127,0.018127,0.000000,0.963747,0.000000,5,3.234276,0.963747,0.945620
113,2.260000,5,5,0,1,0,1,0.000000,0.060832,0.060832,0.000000,2.277437,0.000000,0.000000,0.025356,0.025356,0.000000,0.949288,0.000000,5,2.277437,0.949288,0.923932
114,2.280000,4,5,0,0,1,0,0.000000,0.060832,0.060832,0.000000,1.883823,0.000000,0.000000,0.030333,0.030333,0.000000,0.939335,0.000000,5,1.883823,0.939335,0.909002
115,2.300000,4,4,0,0,0,1,0.000000,0.000000,0.060832,0.000000,1.883823,0.000000,0.000000,0.000000,0.031282,0.000000,0.968718,0.000000,5,1.883823,0.968718,0.937437
116,2.320000,5,4,1,0,0,0,0.000000,0.000000,0.060832,0.060832,1.883823,0.000000,0.000000,0.000000,0.030333,0.030333,0.939335,0.000000,5,1.883823,0.939335,0.909002
117,2.340000,5,4,0,0,0,0,0.000000,0.000000,0.060832,0.060832,1.883823,0.000000,0.000000,0.000000,0.030333,0.030333,0.939335,0.000000,5,1.883823,0.939335,0.909002
118,2.360000,4,4,0,0,1,0,0.000000,0.000000,0.060832,0.060832,1.883823,0.000000,0.000000,0.000000,0.030333,0.030333,0.939335,0.000000,5,1.883823,0.939335,0.909002
119,2.380000,4,4,0,0,0,0,0.000000,0.000000,0.060832,0.060832,1.883823,0.000000,0.000000,0.000000,0.030333,0.030333,0.939335,0.000000,5,1.883823,0.939335,0.909002
120,2.400000,4,3,0,0,0,1,0.000000,0.000000,0.060832,0.060832,1.000492,0.000000,0.000000,0.000000,0.054210,0.054210,0.891581,0.000000,5,1.000492,0.891581,0.837371
121,2.420000,3,4,0,1,1,0,0.000000,0.000000,0.060832,0.060832,0.800745,0.000000,0.000000,0.000000,0.065949,0.065949,0.868102,0.000000,5,0.800745,0.868102,0.802154
122,2.440000,3,4,0,0,0,0,0.000000,0.000000,0.060832,0.060832,0.800745,0.000000,0.000000,0.000000,0.065949,0.065949,0.868102,0.000000,5,0.800745,0.868102,0.802154
123,2.460000,3,3,0,0,0,1,0.000000,0.000000,0.000000,0.060832,0.800745,0.000000,0.000000,0.000000,0.000000,0.070605,0.929395,0.000000,5,0.800745,0.929395,0.858790
124,2.480000,3,3,0,0,0,0,0.000000,0.000000,0.000000,0.060832,0.800745,0.000000,0.000000,0.000000,0.000000,0.070605,0.929395,0.000000,5,0.800745,0.929395,0.858790
125,2.500000,4,4,1,1,0,0,0.000000,0.000000,0.014264,0.060832,0.883622,0.000000,0.000000,0.000000,0.014879,0.063451,0.921670,0.000000,5,0.883622,0.921670,0.858219
126,2.520000,4,4,0,0,0,0,0.000000,0.000000,0.014264,0.060832,0.883622,0.000000,0.000000,0.000000,0.014879,0.063451,0.921670,0.000000,5,0.883622,0.921670,0.858219
127,2.540000,4,4,1,0,1,0,0.000000,0.000000,0.740818,0.060832,0.883622,0.000000,0.000000,0.000000,0.439584,0.036096,0.524320,0.000000,5,0.883622,0.524320,0.084736
